,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
297,383,MAG,100.705,12.0,1.0,29.42,42.962,28.323,MEDIUM,12.0,Haas F1 Team,9.0,175.0217983651226,292.0,61.0,54.67029972752044,0.3542234332425068,0.22343324250681199,30.0,36.8,181.0,1.5,0.6684626584437464,-1.4252564109832888,0
298,384,MAG,100.828,13.0,1.0,29.453,42.993,28.382,MEDIUM,13.0,Haas F1 Team,9.0,175.13527851458886,294.0,63.0,55.254641909814325,0.33156498673740054,0.22811671087533156,30.1,36.6,158.0,1.5,0.7814739205654277,-1.8189250473519358,0
299,385,MAG,100.515,14.0,1.0,29.411,42.843,28.261,MEDIUM,14.0,Haas F1 Team,9.0,175.04787234042553,296.0,63.0,54.89627659574468,0.32180851063829785,0.2553191489361702,30.1,36.4,156.0,1.2,1.0333036818755155,-1.6556885807617765,0
300,386,MAG,100.598,15.0,1.0,29.339,42.949,28.31,MEDIUM,15.0,Haas F1 Team,9.0,173.46774193548387,294.0,63.0,55.37903225806452,0.3387096774193548,0.22311827956989247,30.1,36.4,160.0,1.6,0.5720089290793373,-1.4853309742349885,0
301,387,MAG,100.671,16.0,1.0,29.415,42.973,28.283,MEDIUM,16.0,Haas F1 Team,9.0,175.7963446475196,294.0,62.0,56.57180156657964,0.3368146214099217,0.2349869451697128,30.1,36.4,173.0,1.6,0.35113283501628484,-1.1927224469859263,0
302,388,MAG,100.859,17.0,1.0,29.47,43.047,28.342,MEDIUM,17.0,Haas F1 Team,9.0,175.10761154855643,294.0,62.0,56.83464566929134,0.32808398950131235,0.23622047244094488,30.1,36.5,189.0,1.2,0.7860676594605478,-1.3934512366589773,0
303,389,MAG,100.993,18.0,1.0,29.461,43.07,28.462,MEDIUM,18.0,Haas F1 Team,9.0,172.51842105263157,294.0,62.0,53.19736842105263,0.34210526315789475,0.25526315789473686,30.0,36.4,185.0,1.3,1.5206929754284348,-0.5777647014976183,0
304,394,MAG,103.438,23.0,2.0,29.478,44.367,29.593,HARD,3.0,Haas F1 Team,10.0,169.23056994818654,303.0,57.0,54.137305699481864,0.3238341968911917,0.27979274611398963,30.0,36.0,160.0,1.6,4.324653431645928,1.6635509425554333,1
305,395,MAG,102.343,24.0,2.0,29.425,44.113,28.805,HARD,4.0,Haas F1 Team,10.0,171.3782383419689,299.0,57.0,52.83678756476684,0.33419689119170987,0.2616580310880829,29.9,36.1,166.0,1.5,2.8954505303388194,0.9153714640487141,1
306,396,MAG,101.109,25.0,2.0,29.159,43.294,28.656,HARD,5.0,Haas F1 Team,10.0,171.54076086956522,313.0,59.0,51.82336956521739,0.2798913043478261,0.24456521739130435,29.9,36.0,171.0,1.7,1.838660926510594,0.8425083548244576,1
307,397,MAG,100.851,26.0,2.0,28.832,43.62,28.399,HARD,6.0,Haas F1 Team,10.0,175.18393782383419,315.0,62.0,54.54663212435233,0.34196891191709844,0.22797927461139897,29.8,36.0,161.0,1.2,0.48136349184082566,-0.24350901659904395,0
308,398,MAG,100.481,27.0,2.0,28.932,43.127,28.422,HARD,7.0,Haas F1 Team,10.0,172.9058524173028,313.0,59.0,52.27226463104326,0.31297709923664124,0.2544529262086514,29.9,36.1,167.0,1.7,1.2551959525540644,0.8003507871890575,1
309,399,MAG,101.579,28.0,2.0,28.754,44.107,28.718,HARD,8.0,Haas F1 Team,10.0,173.35733333333334,316.0,54.0,53.29333333333334,0.2853333333333333,0.2613333333333333,30.0,35.7,165.0,1.3,2.3822584724732834,1.9836387465944725,1
310,400,MAG,101.565,29.0,2.0,28.947,44.117,28.501,HARD,9.0,Haas F1 Team,10.0,173.15665796344646,314.0,57.0,51.93994778067885,0.30809399477806787,0.2584856396866841,30.0,35.7,189.0,1.6,1.9733670379306403,1.8325359907471073,1
311,401,MAG,100.224,30.0,2.0,28.94,43.067,28.217,HARD,10.0,Haas F1 Team,10.0,176.625,313.0,60.0,54.01063829787234,0.30851063829787234,0.2393617021276596,30.0,35.9,181.0,1.0,0.49860458917700984,-0.4159676894777726,0
312,402,MAG,100.03,31.0,2.0,28.827,42.835,28.368,HARD,11.0,Haas F1 Team,10.0,174.072,315.0,60.0,52.42133333333334,0.288,0.256,30.0,35.9,188.0,0.8,1.21199270605134,-0.08018609943060523,0
313,403,MAG,100.464,32.0,2.0,29.003,43.21,28.251,HARD,12.0,Haas F1 Team,10.0,175.37801608579088,315.0,56.0,53.79892761394102,0.2546916890080429,0.2359249329758713,30.0,35.9,185.0,1.2,0.9731845544674328,0.667047895136585,1
314,404,MAG,100.096,33.0,2.0,29.125,42.876,28.095,HARD,13.0,Haas F1 Team,10.0,174.44871794871796,299.0,61.0,54.364102564102566,0.33589743589743587,0.2512820512820513,30.0,35.9,168.0,1.5,0.3222648319714975,-0.39062785470631756,0
315,405,MAG,101.291,34.0,2.0,29.244,43.783,28.264,HARD,14.0,Haas F1 Team,10.0,175.42133333333334,296.0,62.0,54.461333333333336,0.30933333333333335,0.2613333333333333,30.0,35.9,153.0,1.5,0.938362177638501,-0.25107828287054945,0
316,406,MAG,102.612,35.0,2.0,29.304,44.875,28.433,HARD,15.0,Haas F1 Team,10.0,173.0771208226221,295.0,57.0,55.326478149100254,0.30077120822622105,0.2416452442159383,30.0,35.5,158.0,1.7,1.731541594927966,1.3734986935118003,1
