,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
569,600,TSU,93.036,31.0,1.0,31.898,35.208,25.93,HARD,31.0,AlphaTauri,9.0,207.04864864864865,338.0,63.0,63.51081081081081,0.4891891891891892,0.1918918918918919,27.5,36.0,160.0,4.5,0.771593865933246,-0.7788822717393825,0
570,601,TSU,92.959,32.0,1.0,31.807,35.317,25.835,HARD,32.0,AlphaTauri,9.0,205.53644314868805,331.0,62.0,63.46064139941691,0.4868804664723032,0.20408163265306123,27.5,35.8,133.0,4.0,1.1397698947391017,-0.7116750574806535,0
571,602,TSU,92.861,33.0,1.0,31.779,35.156,25.926,HARD,33.0,AlphaTauri,8.0,207.803324099723,322.0,64.0,64.45983379501385,0.5096952908587258,0.1745152354570637,27.3,35.2,139.0,4.1,-0.41019885968192293,-0.14165203736643975,1
572,603,TSU,92.412,34.0,1.0,31.414,35.107,25.891,HARD,34.0,AlphaTauri,8.0,204.88695652173914,321.0,63.0,63.61739130434783,0.4985507246376812,0.1681159420289855,27.3,34.9,144.0,4.6,-0.37537574179422784,0.4590977351618983,1
573,604,TSU,92.276,35.0,1.0,31.404,34.994,25.878,HARD,35.0,AlphaTauri,8.0,208.14647887323943,320.0,62.0,66.21408450704226,0.5126760563380282,0.14929577464788732,27.0,34.3,128.0,3.7,-1.6630685943835093,0.6686713682823756,1
574,607,TSU,91.561,38.0,2.0,31.098,34.733,25.73,MEDIUM,2.0,AlphaTauri,14.0,208.07871720116617,320.0,64.0,64.14868804664724,0.4868804664723032,0.1749271137026239,27.0,35.3,135.0,4.6,-1.4936545221520268,-0.5954452126598218,1
575,608,TSU,91.944,39.0,2.0,31.318,34.812,25.814,MEDIUM,3.0,AlphaTauri,14.0,210.04735376044567,322.0,63.0,65.87465181058496,0.5069637883008357,0.14763231197771587,26.9,35.5,148.0,4.3,-1.9051448293396875,-0.5180851950765608,1
576,609,TSU,92.274,40.0,2.0,31.312,35.127,25.835,MEDIUM,4.0,AlphaTauri,14.0,209.28571428571428,324.0,64.0,65.36,0.5,0.15428571428571428,26.9,34.5,148.0,4.0,-1.4328194117500257,-0.10209303055007633,1
577,610,TSU,92.294,41.0,2.0,31.489,34.933,25.872,MEDIUM,5.0,AlphaTauri,14.0,207.36311239193083,325.0,64.0,63.84438040345821,0.4812680115273775,0.1440922190201729,26.9,34.1,144.0,2.7,-0.9771477881085942,-0.022520214232898343,1
578,611,TSU,92.361,42.0,2.0,31.569,35.09,25.702,MEDIUM,6.0,AlphaTauri,14.0,205.83428571428573,338.0,61.0,64.15428571428572,0.48,0.15714285714285714,26.8,33.6,148.0,4.4,-0.3357206154293807,0.7206620834617034,1
579,612,TSU,92.26,43.0,2.0,31.636,34.92,25.704,MEDIUM,7.0,AlphaTauri,13.0,208.79525222551928,337.0,61.0,63.74183976261128,0.4807121661721068,0.17210682492581603,26.7,33.5,159.0,4.6,-0.9763071916011816,0.8219509487959596,1
580,613,TSU,92.083,44.0,2.0,31.658,34.759,25.666,MEDIUM,8.0,AlphaTauri,13.0,209.71130952380952,337.0,64.0,63.345238095238095,0.5029761904761905,0.18452380952380953,26.7,33.3,158.0,4.3,-1.4154940915805965,0.4145260979724332,1
581,614,TSU,92.193,45.0,2.0,31.668,34.94,25.585,MEDIUM,9.0,AlphaTauri,13.0,207.38352272727272,340.0,62.0,62.66193181818182,0.48011363636363635,0.19318181818181818,26.8,33.0,142.0,3.2,-0.32119719039837674,0.3008602135664089,1
582,615,TSU,92.38,46.0,2.0,31.846,34.906,25.628,MEDIUM,10.0,AlphaTauri,13.0,206.73937677053826,340.0,62.0,62.51274787535411,0.49575070821529743,0.1813031161473088,27.0,35.1,142.0,4.4,0.2009357919401577,-0.39646109401543805,0
583,616,TSU,92.124,47.0,2.0,31.651,34.858,25.615,MEDIUM,11.0,AlphaTauri,12.0,207.87142857142857,343.0,59.0,65.29142857142857,0.5085714285714286,0.16285714285714287,27.3,34.8,126.0,5.9,-0.34140071415442863,-0.6220562562314306,0
584,617,TSU,91.991,48.0,2.0,31.389,34.869,25.733,MEDIUM,12.0,AlphaTauri,12.0,207.06303724928367,323.0,64.0,66.63037249283667,0.5272206303724928,0.15759312320916904,27.1,34.2,128.0,4.4,-1.5159277205203299,-0.3585817121910465,1
585,618,TSU,91.607,49.0,2.0,31.163,34.945,25.499,MEDIUM,13.0,AlphaTauri,12.0,209.45906432748538,338.0,60.0,66.46198830409357,0.5233918128654971,0.1608187134502924,27.0,33.3,122.0,3.7,-1.6925341230193913,-0.3121012699593964,1
586,619,TSU,92.372,50.0,2.0,31.354,35.411,25.607,MEDIUM,14.0,AlphaTauri,11.0,208.1867816091954,338.0,58.0,65.30172413793103,0.5028735632183908,0.1724137931034483,27.0,33.8,138.0,2.7,-0.20964696741772593,-0.07273779656329574,0
587,620,TSU,91.448,51.0,2.0,31.025,34.752,25.671,MEDIUM,15.0,AlphaTauri,11.0,207.13675213675214,318.0,63.0,67.98575498575498,0.5185185185185185,0.13675213675213677,27.1,33.4,135.0,3.2,-2.5870573156799406,-0.2526231820239444,1
588,621,TSU,91.503,52.0,2.0,30.962,34.779,25.762,MEDIUM,16.0,AlphaTauri,11.0,208.43965517241378,320.0,62.0,66.29597701149426,0.5201149425287356,0.16666666666666666,27.0,33.4,142.0,5.0,-2.3733746796403383,0.5493998471107852,1
589,622,TSU,91.514,53.0,2.0,31.046,34.708,25.76,MEDIUM,17.0,AlphaTauri,11.0,209.92753623188406,320.0,63.0,65.36521739130434,0.5130434782608696,0.15942028985507245,26.9,33.1,118.0,3.5,-2.5198909955995896,0.3500840345261991,1
590,623,TSU,91.482,54.0,2.0,30.97,34.82,25.692,MEDIUM,18.0,AlphaTauri,11.0,210.07246376811594,320.0,62.0,64.69855072463768,0.5159420289855072,0.17101449275362318,26.9,32.9,127.0,3.5,-2.3947178785492635,0.5229189233851924,1
591,624,TSU,91.19,55.0,2.0,30.866,34.619,25.705,MEDIUM,19.0,AlphaTauri,11.0,211.67422096317281,321.0,64.0,66.90368271954674,0.5212464589235127,0.1529745042492918,27.0,32.9,126.0,4.5,-3.5495500956237054,0.16449282731805448,1
592,625,TSU,91.038,56.0,2.0,30.756,34.715,25.567,MEDIUM,20.0,AlphaTauri,11.0,214.89442815249268,322.0,62.0,68.86803519061584,0.5454545454545454,0.1436950146627566,27.1,32.8,154.0,3.7,-4.470939072816239,-0.4171627447468208,1
593,626,TSU,91.325,57.0,2.0,30.89,34.816,25.619,MEDIUM,21.0,AlphaTauri,11.0,211.6235294117647,323.0,61.0,67.75588235294117,0.5411764705882353,0.15588235294117647,27.1,33.1,136.0,3.0,-3.0929090584520913,-0.3447867540652812,1
594,628,STR,95.75,2.0,1.0,33.069,36.215,26.466,HARD,3.0,Aston Martin,17.0,201.80165289256198,326.0,67.0,57.36363636363637,0.21212121212121213,0.209366391184573,26.6,33.7,124.0,3.7,4.654865953662249,2.7729718387360403,2
